"1","sugar","साखर","daily to use food product","दैनंदिन वापरातील पदार्थ"
"2","milk","दूध","milk and milk products","मिल्क  अँड  मिल्क  प्रॉडक्ट्स   "
"3","toor dal","तूर डाळ","dal","डाळ"
"4","matki","मटकी","legumes","कडधान्य    "
"5","rice","तांदूळ","grains","धान्य"
"6","palm oil","पालम तेल","oil","तेल"
"7","Garam Masala","गरम मसाला","Masalas","मसाले"
"8","Maida","मैदा","Flour","पीठ"
"9","Cashew","काजू","Dryfruits","ड्रायफ्रुटस"
"10","Gulabjamun","गुलाबजाम","Instant Mix","इन्स्टंट मिक्स "
"11","Khaari","खारी","Bakery Products","बेकरी  प्रॉडक्ट्स "
"12","Namkeen Biscuit","नमकीन बिस्कीट ","Biscuits","बिस्कीट"
"13","Rajgira Ladoo","राजगिरा लाडू","Ladoo","लाडू"
"14","Banana Wafers","केळीचे वेफर्स  ","Wafers","वेफर्स  "
"15","Tilachi  Chutney","तिळाची चटणी","Chutney","चटणी"
"16","Mango Pickle","कैरी लोणचे","Pickle","लोणचे"
"17","Kachhi","कच्ची सुपारी","Supari","सुपारी"
"18","Potato Papad","बटाटा  पापड","Papad"," पापड"
"19","Namkeen Shev","नमकीन शेव","Namkeen","नमकीन"
"20","Bathing Soap","अंघोळीचा साबण","Everyday Products","दैनंदिन वापरातील वस्तू"
"21","Tumeric","हळद","God Worshipping Products","देव पूजेच्या वस्तू "
"22","coffee","कॉफी","daily to use food product","दैनंदिन वापरातील पदार्थ"
